DateFull,Year,Month,Day,Artist,Mix,Path,Format
1993-11-06,1993,11,06,Paul Oakenfold,Paul Oakenfold,1993/1993-11-06 - EM - Paul Oakenfold.mp3,mp3
1994-12-11,1994,12,11,Massive Attack,Massive Attack,2018/2018-08-19 - Massive Attack - Essential Mix Classic (1994-12-11)/Bonus/1994-12-11 - Massive Attack - Essential Mix - 1st Broadcast intro outro.mp3,mp3
2009-11-28,2009,11,28,Hudson Mohawke,Hudson Mohawke,2009/2009-11-28 - EM - Hudson Mohawke (MP2)/2009-11-28 - EM - Hudson Mohawke.mp3,mp3
2009-12-28,2009,12,28,Switch and Diplo (Major Lazer) (2009-07-25 Re-run),Switch and Diplo (Major Lazer) (2009-07-25 Re-run),2009/2009-12-28 - CEM - Switch and Diplo (Major Lazer) (2009-07-25 Re-run) (MP2)/2009-12-28 - CEM - Switch and Diplo (Major Lazer) (2009-07-25 Re-run).mp3,mp3
2016-01-02,2016,01,02,Maribou State,Maribou State,2016/2016-01-02 - Maribou State - Essential Mix/2016-01-02 - Maribou State - Essential Mix.mp3,mp3
2016-01-09,2016,01,09,Denney,Denney,2016/2016-01-09 - Denney - Essential Mix/2016-01-09 - Denney - Essential Mix.mp3,mp3
2016-01-16,2016,01,16,Rockwell,Rockwell,2016/2016-01-16 - Rockwell - Essential Mix/2016-01-16 - Rockwell - Essential Mix.mp3,mp3
2016-01-23,2016,01,23,Pirupa,Pirupa,2016/2016-01-23 - Pirupa - Essential Mix/2016-01-23 - Pirupa - Essential Mix.mp3,mp3
2016-01-30,2016,01,30,Richie Hawtin,Richie Hawtin,2016/2016-01-30 - Richie Hawtin - Essential Mix/2016-01-30 - Richie Hawtin - Essential Mix.mp3,mp3
2016-02-06,2016,02,06,Stephan Bodzin,Stephan Bodzin,2016/2016-02-06 - Stephan Bodzin - Essential Mix/2016-02-06 - Stephan Bodzin - Essential Mix.mp3,mp3
2016-02-13,2016,02,13,Aly Fila,Aly Fila,2016/2016-02-13 - Aly _ Fila - Essential Mix/2016-02-13 - Aly _ Fila - Essential Mix.mp3,mp3
2016-02-20,2016,02,20,Midland,Midland,2016/2016-02-20 - Midland - Essential Mix/2016-02-20 - Midland - Essential Mix.mp3,mp3
2016-02-27,2016,02,27,Rodhad,Rodhad,2016/2016-02-27 - Rodhad - Essential Mix/2016-02-27 - Rodhad - Essential Mix.mp3,mp3
2016-03-05,2016,03,05,Bob Moses,Bob Moses,2016/2016-03-05 - Bob Moses - Essential Mix/2016-03-05 - Bob Moses - Essential Mix.mp3,mp3
2016-03-12,2016,03,12,Leon Vynehall,Leon Vynehall,2016/2016-03-12 - Leon Vynehall - Essential Mix/2016-03-12 - Leon Vynehall - Essential Mix.mp3,mp3
