date,year,month,day,artist,mix_title,full_title
1993-10-30,1993,10,30,Pete Tong,Essential Mix,1993-10-30 - Pete Tong - Essential Mix
1993-11-06,1993,11,06,Paul Oakenfold,Essential Mix,1993-11-06 - Paul Oakenfold - Essential Mix
1993-11-13,1993,11,13,Andrew Weatherall,Essential Mix,1993-11-13 - Andrew Weatherall - Essential Mix
1993-11-20,1993,11,20,Danny Rampling,Essential Mix,1993-11-20 - Danny Rampling - Essential Mix
1993-11-27,1993,11,27,Terry Farley & Pete Heller,Essential Mix,1993-11-27 - Terry Farley & Pete Heller - Essential Mix
1993-12-04,1993,12,04,The Future Sound Of London,Essential Mix,1993-12-04 - The Future Sound Of London - Essential Mix
1993-12-11,1993,12,11,Pete Tong,Essential Mix,1993-12-11 - Pete Tong - Essential Mix
1993-12-18,1993,12,18,David Holmes,Essential Mix,1993-12-18 - David Holmes - Essential Mix
1993-12-25,1993,12,25,"Pete Tong, Dave Dorrell (Essential Selection's Christmas House Party)",Essential Mix,"1993-12-25 - Pete Tong, Dave Dorrell (Essential Selection's Christmas House Party) - Essential Mix"
1994-01-01,1994,01,01,Brothers In Rhythm,Essential Mix,1994-01-01 - Brothers In Rhythm - Essential Mix
1994-01-01,1994,01,01,Snap,Essential Mix,1994-01-01 - Snap - Essential Mix
1994-01-08,1994,01,08,"Andy Carroll, Paul Bleasdale (Cream)",Essential Mix,"1994-01-08 - Andy Carroll, Paul Bleasdale (Cream) - Essential Mix"
1994-01-15,1994,01,15,Sasha,Essential Mix,1994-01-15 - Sasha - Essential Mix
1994-01-22,1994,01,22,Junior Vasquez,Essential Mix,1994-01-22 - Junior Vasquez - Essential Mix
1994-01-29,1994,01,29,Graeme Park,Essential Mix,1994-01-29 - Graeme Park - Essential Mix
1994-02-05,1994,02,05,Justin Robertson,Essential Mix,1994-02-05 - Justin Robertson - Essential Mix
1994-02-12,1994,02,12,Pete Tong,Essential Mix,1994-02-12 - Pete Tong - Essential Mix
1994-02-19,1994,02,19,CJ Mackintosh,Essential Mix,1994-02-19 - CJ Mackintosh - Essential Mix
1994-02-26,1994,02,26,Ralph Lawson & Lisa Loud,Essential Mix,1994-02-26 - Ralph Lawson & Lisa Loud - Essential Mix
1994-03-05,1994,03,05,John Digweed,Essential Mix,1994-03-05 - John Digweed - Essential Mix
1994-03-12,1994,03,12,"DJ Professor, RAF, DJ Pierre & Clock",Essential Mix (Media Records Special),"1994-03-12 - DJ Professor, RAF, DJ Pierre & Clock - Essential Mix (Media Records Special)"
1994-03-19,1994,03,19,Paul Oakenfold,Essential Mix,1994-03-19 - Paul Oakenfold - Essential Mix
1994-03-26,1994,03,26,Brothers In Rhythm,Essential Mix (Big Night In),1994-03-26 - Brothers In Rhythm - Essential Mix (Big Night In)
1994-04-02,1994,04,02,Pete Tong,Essential Mix,1994-04-02 - Pete Tong - Essential Mix
1994-04-09,1994,04,09,Allister Whitehead,Essential Mix,1994-04-09 - Allister Whitehead - Essential Mix
1994-04-16,1994,04,16,X-Press 2,Essential Mix,1994-04-16 - X-Press 2 - Essential Mix
1994-04-23,1994,04,23,Sure Is Pure,Essential Mix,1994-04-23 - Sure Is Pure - Essential Mix
1994-04-30,1994,04,30,Slam,Essential Mix,1994-04-30 - Slam - Essential Mix
1994-05-07,1994,05,07,Al McKenzie,Essential Mix,1994-05-07 - Al McKenzie - Essential Mix
1994-05-14,1994,05,14,The Future Sound Of London,Essential Mix,1994-05-14 - The Future Sound Of London - Essential Mix
1994-05-21,1994,05,21,Judge Jules & Dave Lambert,Essential Mix,1994-05-21 - Judge Jules & Dave Lambert - Essential Mix
1994-05-28,1994,05,28,Billy Nasty,Essential Mix,1994-05-28 - Billy Nasty - Essential Mix
1994-06-04,1994,06,04,Jeremy Healy,Essential Mix,1994-06-04 - Jeremy Healy - Essential Mix
1994-06-11,1994,06,11,Dave Clarke,Essential Mix,1994-06-11 - Dave Clarke - Essential Mix
1994-06-18,1994,06,18,Danny D,Essential Mix,1994-06-18 - Danny D - Essential Mix
1994-06-25,1994,06,25,Laurent Garnier,Essential Mix,1994-06-25 - Laurent Garnier - Essential Mix
1994-07-02,1994,07,02,Pete Heller & Terry Farley,Essential Mix,1994-07-02 - Pete Heller & Terry Farley - Essential Mix
1994-07-09,1994,07,09,Darren Emerson,Essential Mix,1994-07-09 - Darren Emerson - Essential Mix
